industrija,count
Banke,25
Programska oprema,24
Banke-regionalno,22
Polprevodniki,19
Zdravila,18
Posebni industrijski stroji,17
Nafta in plin,14
Avtomobilska industrija,13
Telekomunikacijske storitve,12
Zdravstveno zavarovanje,12
Letalstvo in obramba,10
Nafta in plin E&P,10
Komunala-razno,10
Upravljanje sredstev,9
Diagnostika in raziskave,8
Biotehnologija,8
Industrijske kovine in rudarstvo,8
Internetne vsebine in informacije,8
Gospodinjski in osebni izdelki,7
Finančni podatki in borze,7
Nafta in plin-vmesni proces,7
Kemikalije,7
Kreditne storitve,6
Železnice,6
Storitve informacijske tehnologije,6
Zdravstvene naprave,6
Internetna maloprodaja,6
Kapitalski trgi,6
Trgovina z oblačili,5
Komunala-elektrika,5
Specializirane kemikalije,5
Medicinski instrumenti in pripomočki,5
Tovorni promet in logistika,5
Zavarovanje premoženja in nezgod,5
Brezalkoholne pijače,5
Polprevodniška oprema in materiali,5
Trgovine s popusti,5
Restavracije,5
Pijače-pivovarji,4
Elektronske igre in multimedija,4
Proizvajalci zdravil ,4
Potrošniška elektronika,4
Kmetijski in težki gradbeni stroji,4
Tobak,4
Zabava,4
Vinarne in destilarne,4
Elektronske komponente,4
Luksuzne dobrine,4
Zavarovanje-diverzificirano,4
Konglomerati,3
Računalniška strojna oprema,3
Ravnanje z odpadki,3
Rafiniranje nafte in plina,3
Pakirana živila,3
Zavarovalni posredniki,3
Nepremičnine-posebnosti,3
Zaposlitvene storitve,3
Oprema za dom,3
Električna oprema in deli,3
Komunikaciska oprema,3
Oprema in storitve za nafto in plin,2
Svetovalne storitve ,2
Stanovanjska gradnja,2
Zlato,2
REIT-maloprodaja,2
Trgovine z živili,2
Posebne poslovne storitve,2
Medicinska distribucija,2
Prenočišča,2
Gradbeni izdelki in oprema,2
Baker,2
Industrijska distribucija,2
Posebna maloprodaja,2
Inženirstvo in gradbeništvo,2
Slaščičarstvo,2
Komunala-električna energija,2
Nepremičnine-industrija,2
Premog,2
Založništvo,2
Igre na srečo,1
Storitve zdravstvenih informacij,1
Komunalne storitve-obnovljivi viri,1
Letovišča in igralnice,1
REIT-zdravstveni objekti,1
Nepremičninske storitve,1
Kmetijski vložki,1
Pomorski promet,1
Tovorni promet,1
Gradbeni materiali,1
Distribucija hrane,1
Kmetijski izdelki,1
Jeklo,1
Farmacevtski trgovci na drobno,1
Finančni konglomerat,1
Potovalne storitve,1
Avtomobilski deli,1
Zavarovanje-pozavarovanje,1
Znanstveni in tehnični pripomočki,1
Zdravstvene ustanove,1
Obutev in dodatki,1
Storitve najema in zakupa,1
Prosti čas,1
Nepremičnine-razvoj,1
