država,ime,vrednost
ZDA,256,35476.3
Kitajska,33,3524.32
Savdska Arabija,6,2384.04
Francija,20,2264.29
Japonska,30,1931.18
Združeno kraljestvo,22,1915.8500000000001
Nemčija,18,1304.53
Kanada,18,1151.73
Švica,14,1088.17
Nizozemska,8,877.89
Avstralija,11,717.92
Hong Kong,7,645.3199999999999
Irska,8,602.05
Tajvan,3,561.89
Južna Koreja,3,459.15000000000003
Danska,2,374.83
Indija,4,311.33
Rusija,5,301.84000000000003
Španija,4,301.69
Italija,5,266.65000000000003
Brazilija,4,255.69
Mehika,4,220.07
Indonezija,3,167.59
Singapur,3,136.68
Belgija,1,114.01
Švedska,2,105.49000000000001
Norveška,1,88.46
Avstrija,1,84.73
Argentina,1,57.09
Bermuda,1,55.19
Južna Afrika,1,36.01
Tajska,1,35.76
