država,vrednost
ZDA,35476.3
Kitajska,3524.32
Savdska Arabija,2384.04
Francija,2264.29
Japonska,1931.18
Združeno kraljestvo,1915.85
Nemčija,1304.53
Kanada,1151.73
Švica,1088.17
Nizozemska,877.89
Avstralija,717.92
Hong Kong,645.32
Irska,602.05
Tajvan,561.89
Južna Koreja,459.15
Danska,374.83
Indija,311.33
Rusija,301.84
Španija,301.69
Italija,266.65
Brazilija,255.69
Mehika,220.07
Indonezija,167.59
Singapur,136.68
Belgija,114.01
Švedska,105.49
Norveška,88.46
Avstrija,84.73
Argentina,57.09
Bermuda,55.19
Južna Afrika,36.01
Tajska,35.76
